TotalSteps,TotalDistance,VeryActiveMinutes,Calories
11004,7.110000134,33,1819
17609,11.55000019,89,2154
12736,8.529999733,56,1944
13231,8.930000305,39,1932
12041,7.849999905,28,1886
10970,7.159999847,30,1820
12256,7.860000134,33,1889
12262,7.869999886,47,1868
11248,7.25,40,1843
10016,6.369999886,15,1850
14557,9.800000191,43,2030
14844,9.729999542,36,2083
11974,7.670000076,27,1861
10198,6.440000057,17,1755
12521,7.940000057,46,1895
12432,8.100000381,32,1883
10057,6.980000019,44,1755
10990,7.260000229,26,1811
224,0.1400000006,0,50
1810,1.179999948,0,1373
815,0.5299999714,0,1264
1985,1.289999962,0,1350
1905,1.24000001,0,1342
1552,1.00999999,0,1300
1675,1.090000033,0,1313
4506,2.930000067,7,1498
9218,5.989999771,0,1541
1556,1.00999999,0,1327
2910,1.889999986,0,1452
18464,12,0,1574
1335,0.8700000048,0,1308
1004,0.6499999762,0,1276
1111,0.7200000286,0,1278
6344,4.119999886,0,1409
3572,2.319999933,0,1370
3910,2.539999962,7,1555
10000,6.5,0,1469
6627,4.309999943,0,706
4636,3.410000086,0,3323
20237,14.71000004,34,4029
12912,9.409999847,59,3436
2819,2.049999952,4,2444
9921,7.210000038,5,3098
8046,5.849999905,18,2925
11166,8.119999886,3,3202
7842,5.699999809,7,2928
13840,10.06000042,18,3290
1329,0.9700000286,0,489
6847,4.53000021,9,1969
5367,3.549999952,0,1889
2841,1.879999995,0,1636
0,0,0,1347
0,0,0,1347
7,0,0,1349
6344,4.190000057,0,1965
5316,3.50999999,0,1824
4979,3.289999962,0,1807
6556,4.340000153,0,1971
5430,3.589999914,0,1888
0,0,0,399
4317,2.99000001,0,2590
5662,3.920000076,0,2783
3198,2.210000038,0,2449
2352,1.629999995,0,2380
2234,1.549999952,0,2344
1259,0.8700000048,0,2202
768,0.5299999714,0,2130
519,0.3600000143,0,2088
2523,1.75,0,2443
2105,1.460000038,0,2442
1209,0.8399999738,0,2255
24,0.01999999955,0,942
13603,9.600000381,72,2645
5477,3.839999914,0,2040
11144,7.820000172,25,2395
15313,11,62,2581
10805,7.590000153,36,2735
15392,10.93000031,47,2733
18247,13.82999992,72,3021
13023,9.260000229,40,2577
16267,12.59000015,44,2811
10005,7.019999981,1,2458
10106,7.090000153,41,2568
6717,4.71999979,41,1140
2605,1.620000005,0,1407
1229,0.7599999905,0,1237
2308,1.429999948,0,1330
6679,4.139999866,0,1583
5645,3.5,0,1538
3180,1.970000029,0,1421
2767,1.720000029,0,1392
3762,2.329999924,0,1425
3098,1.919999957,0,1413
5142,3.190000057,0,1515
3279,2.029999971,0,1405
1019,0.6299999952,0,600
0,0,0,1324
0,0,0,1324
0,0,0,1324
0,0,0,1324
4931,3.319999933,0,1708
6999,4.71999979,0,1950
1846,1.24000001,0,1508
3417,2.299999952,0,1625
4863,3.279999971,1,1772
2277,1.529999971,0,1530
11230,7.670000076,10,2206
2098,1.409999967,0,790
10272,6.789999962,2,2041
10533,7.099999905,21,2187
6760,4.46999979,0,1929
8328,5.510000229,0,1935
15459,10.22000027,51,2438
7485,4.949999809,0,2035
10254,6.800000191,21,2099
10114,6.820000172,18,2096
11107,7.340000153,14,2058
10320,6.849999905,15,2338
10209,6.75,2,2104
16081,10.63000011,16,2488
10078,6.829999924,12,2164
10001,6.610000134,5,2009
0,0,0,399
890,0.6000000238,0,1335
2214,1.49000001,0,1559
7640,5.130000114,3,1845
9713,6.53000021,6,2046
8432,5.670000076,0,1953
7350,4.940000057,0,1910
9353,6.309999943,5,2035
7157,4.809999943,0,1944
14103,9.56000042,46,2257
5290,3.549999952,1,1724
7497,5.039999962,0,1741
0,0,0,0
0,0,0,1920
0,0,0,1920
0,0,0,1920
0,0,0,4562
4126,3.220000029,0,2881
0,0,0,1920
0,0,0,1920
2063,1.610000014,0,1144
5785,3.950000048,0,1852
7625,5.230000019,24,2069
4706,3.210000038,0,1816
5861,4.019999981,20,1878
4460,3.039999962,0,1787
6406,4.389999866,17,2010
7392,5.099999905,14,2038
5551,3.789999962,0,1815
8827,6.25,21,2062
4662,3.180000067,22,1276
4499,3.00999999,0,1288
7618,5.099999905,0,1490
11508,7.699999809,29,1630
11943,7.989999771,16,1648
12303,8.229999542,26,1649
15425,10.31999969,24,1783
8422,5.630000114,0,1431
10226,6.840000153,0,1524
14583,9.760000229,35,1697
3573,2.390000105,15,1232
3108,2.140000105,1,1223
759,0.5699999928,0,182
5543,3.970000029,0,2990
3226,2.309999943,0,2480
3023,2.170000076,0,2570
5906,4.230000019,0,3016
12483,8.989999771,25,3830
8940,6.409999847,0,3706
368,0.2599999905,0,2024
5702,4.090000153,0,2980
10330,7.409999847,0,3728
8778,6.289999962,0,3348
6662,4.78000021,0,3162
6309,4.519999981,0,3140
1951,1.409999967,0,1980
5563,3.99000001,0,3681
4370,3.130000114,0,3444
7144,5.119999886,0,3510
2106,1.50999999,31,4010
4152,2.980000019,0,2976
5400,3.869999886,0,3418
7428,5.329999924,18,3439
5351,3.839999914,15,3338
4299,3.099999905,3,2892
6107,4.380000114,0,3313
6429,4.599999905,0,3118
6880,4.929999828,7,2966
7476,5.360000134,0,3253
6581,4.71999979,0,3032
10480,7.510000229,6,4034
7734,5.550000191,20,3264
5129,3.680000067,5,2817
2993,2.150000095,0,2507
8,0.009999999776,0,446
0,0,0,1777
0,0,0,1777
8433,6.230000019,30,2453
0,0,0,1776
2139,1.559999943,0,1935
0,0,0,1776
949,0.6899999976,0,1870
0,0,0,1777
44,0.02999999933,0,1782
2660,1.940000057,0,1978
5561,4.190000057,0,2296
7239,5.340000153,7,2484
7,0.009999999776,0,1787
0,0,0,1776
0,0,0,1776
2275,1.679999948,0,2005
8,0.009999999776,0,1778
5137,3.75999999,0,2293
5419,4,0,2259
0,0,0,1776
0,0,0,1776
0,0,0,1776
0,0,0,1776
0,0,0,1776
0,0,0,1776
18,0.009999999776,0,1780
4,0,0,1778
8426,6.159999847,2,2360
1650,1.210000038,0,1952
3434,2.50999999,1,2101
6801,4.980000019,0,2393
187,0.1400000006,0,538
5643,3.789999962,3,1958
9043,6.070000172,4,2141
8144,5.460000038,4,2129
9343,6.269999981,14,2216
8405,5.659999847,15,2154
8223,5.519999981,12,2178
10067,6.760000229,5,2308
8359,5.630000114,3,2201
10946,7.349999905,8,2341
9130,6.150000095,7,2236
6544,4.409999847,4,2069
0,0,0,0
0,0,0,1878
0,0,0,1878
0,0,0,1878
0,0,0,1878
0,0,0,1878
0,0,0,1878
0,0,0,1878
0,0,0,1296
2303,1.549999952,0,2010
2600,1.74000001,0,2032
4804,3.220000029,0,2227
3271,2.190000057,0,2133
5406,3.630000114,0,2317
3146,2.109999895,0,2058
2422,1.629999995,0,1935
4239,2.839999914,1,2217
6911,4.78000021,28,2374
6667,4.610000134,24,2335
5543,3.720000029,0,2303
4195,2.809999943,0,2210
6625,4.449999809,0,2424
5986,4.130000114,23,2297
278,0.1899999976,0,745
5336,3.529999971,0,1902
3183,2.099999905,0,1680
6176,4.079999924,1,1901
8205,5.420000076,0,2078
6799,4.489999771,24,1876
5668,3.75,0,1853
7998,5.289999962,27,2235
4195,2.769999981,0,1778
5512,3.640000105,0,1882
6263,4.139999866,0,1906
8828,5.840000153,0,2149
1260,0.8299999833,0,722
6506,5.28000021,4,2886
7583,6.150000095,3,2915
6963,5.650000095,0,2895
7165,5.809999943,0,2923
10328,8.380000114,0,3323
12116,9.829999924,3,3357
7810,6.360000134,6,2931
6670,5.409999847,15,2848
7605,6.179999828,4,2943
6585,5.340000153,0,2822
8184,6.639999866,0,2981
14002,11.35999966,8,3597
11135,9.029999733,1,3224
6499,5.269999981,0,2677
0,0,0,0
12409,8.100000381,51,2142
2937,1.919999957,0,1615
1515,0.9900000095,0,1481
8921,5.880000114,27,1892
11306,7.380000114,40,2086
12252,8,33,2044
15444,10.07999992,51,2249
9938,6.489999771,38,2019
4599,3,0,1692
5594,3.650000095,4,1712
11906,7.769999981,32,2065
3436,2.24000001,7,633
10461,7.869999886,99,3625
14873,11.10999966,202,4430
9917,7.409999847,58,3427
7401,5.559999943,70,3492
8964,6.699999809,107,3597
11080,8.300000191,83,3765
4499,3.359999895,31,2775
4363,3.25999999,8,2486
10494,7.840000153,123,3817
9776,7.380000114,80,3378
2862,2.140000105,39,1511
7444,5.619999886,0,2210
19658,14.84000015,3,2884
0,0,0,1496
8468,6.389999866,2,2262
9910,7.480000019,0,2445
12409,9.369999886,0,2694
4853,3.660000086,0,1903
8955,6.760000229,0,2482
10789,8.149999619,0,2617
0,0,0,0
6633,5.010000229,0,2778
9548,7.21999979,25,3119
0,0,33,2664
0,0,0,2060
0,0,0,2060
0,0,0,2060
0,0,0,2060
0,0,0,2060
0,0,0,2060
0,0,20,735
0,0,0,1820
2101,2.029999971,46,2224
0,0,0,1820
0,0,0,1820
9766,7.510000229,0,2442
165,0.1299999952,0,1849
0,0,0,1822
0,0,0,1820
0,0,0,251
7225,5.179999828,25,3065
1988,1.429999948,0,2207
1577,1.129999995,1,1977
0,0,0,1841
9348,6.699999809,56,4286
11761,8.430000305,24,3920
13987,10.02999973,46,3856
4131,2.960000038,27,2584
14,0.009999999776,0,787
15491,10.23999977,18,2244
14097,9.319999695,50,2188
10467,6.980000019,9,2014
12437,8.300000191,50,2115
12307,8.140000343,14,2055
18952,12.80000019,73,2437
12010,7.940000057,38,2158
12480,8.859999657,55,2170
13417,9.649999619,45,2244
14400,10.88000011,27,2188
12495,8.260000229,33,2231
10148,6.710000038,19,2100
12362,9.090000153,21,2188
5893,3.900000095,43,917
11680,9.06000042,50,2573
10976,7.340000153,9,2575
16806,11.23999977,104,3086
15266,11.39999962,70,2886
12084,9.140000343,50,2676
13513,10.25,64,2811
14100,10.57999992,61,2840
12627,9.649999619,54,2871
10345,6.920000076,2,2613
10146,6.789999962,1,2700
12168,8.140000343,18,2871
7413,5.769999981,53,1023
11463,7.670000076,38,2496
87,0.01999999955,0,1641
1949,1.309999943,3,1794
6101,3.869999886,31,2421
7478,4.989999771,25,2439
7352,4.730000019,19,2233
14604,10.81999969,76,2862
9634,6.519999981,50,2752
7338,4.670000076,27,2519
569,0.349999994,0,1799
6242,3.920000076,46,2543
430,0.2599999905,0,625
20188,15.61999989,124,3377
25701,20.13999939,165,3697
17395,13.21000004,100,3209
17167,13.40999985,98,3167
16435,12.42000008,100,3122
17078,13.19999981,101,3176
11693,9.539999962,60,2790
11159,9.140000343,59,2715
10118,7.730000019,30,2684
16064,12.72000027,96,3097
290,0.2099999934,0,791
0,0,0,1429
0,0,0,1429
0,0,0,1429
0,0,0,1429
0,0,0,1429
1931,1.279999971,0,1607
5181,3.420000076,15,1776
12026,9.149999619,47,2162
5360,3.539999962,8,1832
2545,1.679999948,0,1657
1636,1.080000043,0,1377
0,0,0,0
14179,11.23999977,73,3669
3358,2.660000086,0,2702
9152,7.260000229,25,3304
13935,11.05000019,105,4234
12846,10.18999958,113,4128
9124,7.239999771,55,3798
9725,7.710000038,83,3839
8350,6.619999886,72,3713
2240,1.779999971,0,2606
2631,2.089999914,0,2624
8837,7.010000229,74,3775
3246,2.569999933,65,1882
2174,1.700000048,0,2360
3494,2.730000019,0,2517
2380,1.860000014,0,2400
3159,2.460000038,0,2462
6835,5.329999924,5,2786
2098,1.639999986,0,2354
2816,2.200000048,0,2437
1408,1.100000024,0,1814
4592,2.940000057,4,2260
8452,5.409999847,9,3004
7238,4.630000114,2,2667
3821,2.450000048,0,2229
2332,1.49000001,1,2100
2121,1.360000014,0,2114
1291,0.8299999833,0,1961
1467,0.9399999976,2,1953
1022,0.6499999762,0,1890
4605,2.950000048,0,2253
178,0.1099999994,0,1725
20,0.009999999776,0,728
18700,15.81999969,67,3527
27572,23.38999939,116,4220
15260,8.18999958,106,3864
20779,18.40999985,78,3662
10695,8.119999886,10,2834
24136,20.90999985,87,4039
10910,8.420000076,32,2947
23014,20.38999939,70,4196
16470,8.069999695,90,3841
28497,27.53000069,128,4526
10622,8.06000042,18,2820
2350,1.779999971,0,938
13162,8.5,25,1985
10735,6.96999979,21,1797
10460,6.739999771,30,1776
9762,6.28000021,29,1745
12669,8.159999847,36,1863
9705,6.480000019,38,1728
13019,8.590000153,42,1921
15506,9.880000114,50,2035
10544,6.679999828,28,1786
9819,6.340000153,19,1775
12764,8.130000114,66,1827
14371,9.039999962,41,1949
10039,6.409999847,39,1788
15355,9.800000191,73,2013
13755,8.789999962,31,1970
18134,12.21000004,78,2159
13154,8.529999733,48,1898
11181,7.150000095,16,1837
14673,9.25,52,1947
10602,6.809999943,33,1820
14727,9.710000038,41,2004
15103,9.659999847,50,1990
11100,7.150000095,36,1819
14070,8.899999619,45,1959
12159,8.029999733,24,1896
11992,7.710000038,37,1821
10060,6.579999924,44,1740
12022,7.71999979,46,1819
12207,7.769999981,46,1859
12770,8.130000114,36,1783
0,0,0,0
8163,5.309999943,0,1432
7007,4.550000191,0,1411
9107,5.920000076,0,1572
1510,0.9800000191,0,1344
5370,3.49000001,0,1463
6175,4.059999943,15,1554
10536,7.409999847,17,1604
2916,1.899999976,0,1435
4974,3.230000019,0,1446
6349,4.130000114,0,1467
4026,2.619999886,0,1470
8538,5.550000191,0,1562
6076,3.950000048,16,1617
6497,4.21999979,0,1492
2826,1.840000033,0,1402
8367,5.440000057,17,1670
2759,1.789999962,0,1401
2390,1.549999952,0,1404
6474,4.300000191,11,1655
7155,4.929999828,7,1497
2100,1.370000005,0,1334
2193,1.429999948,0,1368
2470,1.610000014,0,1370
1727,1.120000005,0,1341
2104,1.370000005,0,1474
3427,2.230000019,0,1427
1732,1.129999995,0,1328
2969,1.929999948,0,1393
3134,2.039999962,0,1359
2971,1.929999948,0,1002
10694,7.769999981,2,3199
8001,5.820000172,30,2902
11037,8.020000458,5,3226
5263,3.829999924,3,2750
15300,11.11999989,51,3493
8757,6.369999886,29,3011
7132,5.190000057,15,2806
11256,8.180000305,5,3300
2436,1.769999981,0,2430
1223,0.8899999857,0,2140
3673,2.670000076,0,2344
6637,4.829999924,0,2677
3321,2.410000086,0,2413
3580,2.599999905,8,2497
9919,7.210000038,11,3123
3032,2.200000048,0,2489
9405,6.840000153,3,3108
3176,2.309999943,0,2498
18213,13.23999977,9,3846
6132,4.460000038,3,2696
3758,2.730000019,1,2580
12850,9.340000153,10,3324
2309,1.679999948,0,2222
4363,3.190000057,6,2463
9787,7.119999886,11,3328
13372,9.720000267,41,3404
6724,4.889999866,0,2987
6643,4.829999924,32,3008
9167,6.659999847,12,2799
1329,0.9700000286,0,1276
6697,4.429999828,0,2030
4929,3.25999999,0,1860
7937,5.25,0,2130
3844,2.539999962,0,1725
3414,2.25999999,0,1657
4525,2.99000001,2,1793
4597,3.039999962,0,1814
197,0.1299999952,0,1366
8,0.009999999776,0,1349
8054,5.320000172,2,2062
5372,3.549999952,0,1827
3570,2.359999895,0,1645
0,0,0,1347
0,0,0,1347
0,0,0,1347
4,0,0,1348
6907,4.570000172,0,1992
4920,3.25,0,1856
4014,2.670000076,0,1763
2573,1.700000048,0,1541
0,0,0,1348
4059,2.680000067,0,1742
2080,1.370000005,0,1549
2237,1.480000019,0,1589
44,0.02999999933,0,1351
0,0,0,1347
0,0,0,1347
0,0,0,1347
0,0,0,1347
0,0,0,1347
0,0,0,665
678,0.4699999988,0,2220
356,0.25,0,2151
2163,1.5,0,2383
980,0.6800000072,0,2221
0,0,0,2064
0,0,0,2063
244,0.1700000018,0,2111
0,0,0,2063
0,0,0,2063
0,0,0,2064
149,0.1000000015,0,2093
2945,2.039999962,0,2499
2090,1.450000048,1,2324
152,0.1099999994,0,2100
3761,2.599999905,0,2638
0,0,0,2063
1675,1.159999967,0,2351
0,0,0,2063
0,0,0,2064
2704,1.870000005,14,2411
3790,2.619999886,16,2505
1326,0.9200000167,10,2195
1786,1.24000001,0,2338
0,0,0,2063
2091,1.450000048,0,2383
1510,1.039999962,0,2229
0,0,0,2063
0,0,0,2063
0,0,0,2063
0,0,0,2063
0,0,0,1383
11875,8.340000153,42,2390
12024,8.5,43,2601
10690,7.5,32,2312
11034,8.029999733,27,2525
10100,7.090000153,41,2177
15112,11.39999962,28,2782
14131,10.06999969,48,2770
11548,8.529999733,31,2489
15112,10.67000008,48,2897
12453,8.739999771,104,3158
12954,9.329999924,52,2638
6001,4.210000038,0,2069
13481,10.27999973,37,2529
11369,8.010000229,44,2470
10119,7.190000057,55,2793
10159,7.130000114,19,2463
10140,7.119999886,6,2296
10245,7.190000057,21,2611
18387,12.90999985,13,2732
10538,7.400000095,25,2380
10379,7.289999962,36,2473
12183,8.739999771,72,2752
11768,8.289999962,36,2649
11895,8.350000381,55,2609
10227,7.179999828,24,2498
6708,4.710000038,20,1995
3292,2.309999943,0,1848
13379,9.390000343,35,2709
12798,8.979999542,57,2797
13272,9.319999695,58,2544
9117,6.409999847,16,1853
4414,2.74000001,3,1459
4993,3.099999905,0,1521
3335,2.069999933,0,1431
3821,2.369999886,0,1444
2547,1.580000043,0,1373
838,0.5199999809,0,1214
3325,2.059999943,0,1419
2424,1.5,0,1356
7222,4.480000019,0,1667
2467,1.529999971,0,1370
2915,1.809999943,0,1399
12357,7.710000038,0,1916
3490,2.160000086,0,1401
6017,3.730000019,0,1576
5933,3.680000067,0,1595
6088,3.769999981,0,1593
6375,3.950000048,0,1649
7604,4.710000038,0,1692
4729,2.930000067,0,1506
3609,2.279999971,0,1447
7018,4.349999905,0,1690
5992,3.720000029,0,1604
6564,4.070000172,0,1658
12167,7.539999962,0,1926
8198,5.079999924,0,1736
4193,2.599999905,0,1491
5528,3.450000048,0,1555
10685,6.619999886,0,1869
254,0.1599999964,0,1141
8580,5.320000172,0,1698
8891,5.510000229,0,1364
10725,7.489999771,13,2124
7275,4.900000095,0,2003
3973,2.680000067,0,1696
5205,3.50999999,0,1801
5057,3.410000086,0,1724
6198,4.179999828,0,1852
6559,4.420000076,0,1905
5997,4.039999962,0,1811
7192,4.849999905,0,1922
3404,2.289999962,1,1610
5583,3.75999999,0,1851
5079,3.420000076,0,1804
4165,2.809999943,0,1725
3588,2.420000076,3,1654
3409,2.299999952,0,1632
1715,1.159999967,0,1481
1532,1.029999971,0,1473
924,0.6200000048,0,1410
4571,3.079999924,0,1779
772,0.5199999809,0,1403
3634,2.450000048,5,1613
7443,5.019999981,20,1878
1201,0.8100000024,0,1426
5202,3.50999999,0,1780
4878,3.289999962,0,1742
7379,4.96999979,0,1972
5161,3.480000019,0,1821
3090,2.079999924,0,1630
6227,4.199999809,0,1899
6424,4.329999924,0,1903
2661,1.789999962,0,1125
10113,6.829999924,28,2344
10352,7.010000229,19,2038
10129,6.699999809,1,2010
10465,6.920000076,1,2133
22244,15.07999992,66,2670
5472,3.619999886,1,1882
8247,5.449999809,11,1944
